"1541348499412","GET","579","200"
"1541348499993","GET","84","200"
"1541348500077","GET","189","200"
"1541348500266","GET","116","200"
"1541348500382","GET","85","200"
"1541348500467","GET","120","200"
"1541348500587","GET","98","200"
"1541348500685","GET","87","200"
"1541348500772","GET","100","200"
"1541348500872","GET","113","200"
"1541348500985","GET","84","200"
"1541348501070","GET","200","200"
"1541348501270","GET","109","200"
"1541348501379","GET","68","200"
"1541348501447","GET","73","200"
"1541348501520","GET","71","200"
"1541348501591","GET","178","200"
"1541348501769","GET","70","200"
"1541348501839","GET","71","200"
"1541348501910","GET","77","200"
"1541348501987","GET","90","200"
"1541348502077","GET","1604","200"
"1541348503681","GET","89","200"
"1541348503770","GET","98","200"
"1541348503868","GET","72","200"
"1541348503940","GET","95","200"
"1541348504035","GET","71","200"
"1541348504106","GET","97","200"
"1541348504203","GET","74","200"
"1541348504277","GET","91","200"
"1541348504368","GET","100","200"
"1541348504468","GET","70","200"
"1541348504538","GET","332","200"
"1541348504870","GET","108","200"
"1541348504978","GET","71","200"
"1541348505049","GET","66","200"
"1541348505115","GET","71","200"
"1541348505186","GET","71","200"
"1541348505257","GET","87","200"
"1541348505344","GET","69","200"
"1541348505413","GET","68","200"
"1541348505481","GET","120","200"
"1541348505601","GET","72","200"
"1541348505673","GET","100","200"
"1541348505773","GET","82","200"
"1541348505855","GET","72","200"
"1541348505927","GET","76","200"
"1541348506003","GET","68","200"
"1541348506071","GET","70","200"
"1541348506141","GET","2759","200"
"1541348508900","GET","386","200"
"1541348509286","GET","192","200"
"1541348509478","GET","68","200"
"1541348509546","GET","140","200"
"1541348509686","GET","1118","200"
"1541348510804","GET","867","200"
"1541348511671","GET","67","200"
"1541348511739","GET","67","200"
"1541348511806","GET","77","200"
"1541348511883","GET","192","200"
"1541348512075","GET","196","200"
"1541348512271","GET","1613","200"
"1541348513884","GET","1507","200"
"1541348515391","GET","93","200"
"1541348515484","GET","287","200"
"1541348515771","GET","73","200"
"1541348515844","GET","73","200"
"1541348515917","GET","77","200"
"1541348515994","GET","74","200"
"1541348516068","GET","72","200"
"1541348516140","GET","98","200"
"1541348516238","GET","70","200"
"1541348516308","GET","76","200"
"1541348516384","GET","75","200"
"1541348516459","GET","112","200"
"1541348516571","GET","102","200"
"1541348516673","GET","100","200"
"1541348516773","GET","69","200"
"1541348516842","GET","70","200"
"1541348516912","GET","562","200"
"1541348517474","GET","997","200"
"1541348518471","GET","71","200"
"1541348518543","GET","68","200"
"1541348518611","GET","78","200"
"1541348518689","GET","68","200"
"1541348518757","GET","110","200"
"1541348518867","GET","101","200"
"1541348518968","GET","102","200"
"1541348519070","GET","68","200"
"1541348519138","GET","75","200"
"1541348519213","GET","69","200"
"1541348519282","GET","72","200"
"1541348519355","GET","68","200"
"1541348519424","GET","68","200"
"1541348519492","GET","70","200"
"1541348519562","GET","135","200"
"1541348519697","GET","182","200"
"1541348519879","GET","68","200"
"1541348519947","GET","120","200"
"1541348520067","GET","74","200"
"1541348499411","GET","1772","200"
"1541348501184","GET","94","200"
"1541348501278","GET","101","200"
"1541348501379","GET","89","200"
"1541348501468","GET","70","200"
"1541348501538","GET","145","200"
"1541348501684","GET","83","200"
"1541348501767","GET","70","200"
"1541348501837","GET","233","200"
"1541348502070","GET","71","200"
"1541348502142","GET","66","200"
"1541348502208","GET","70","200"
"1541348502279","GET","79","200"
"1541348502358","GET","70","200"
"1541348502429","GET","74","200"
"1541348502503","GET","70","200"
"1541348502573","GET","1611","200"
"1541348504184","GET","92","200"
"1541348504276","GET","68","200"
"1541348504344","GET","225","200"
"1541348504569","GET","110","200"
"1541348504679","GET","66","200"
"1541348504745","GET","69","200"
"1541348504814","GET","1898","200"
"1541348506712","GET","71","200"
"1541348506784","GET","75","200"
"1541348506859","GET","123","200"
"1541348506982","GET","101","200"
"1541348507083","GET","98","200"
"1541348507181","GET","87","200"
"1541348507268","GET","109","200"
"1541348507377","GET","104","200"
"1541348507481","GET","98","200"
"1541348507579","GET","102","200"
"1541348507681","GET","1490","200"
